"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
107;"CE424,CE423,CE422,CE421,CE414,CE413,CE412,CE411,CE303,CE302,C332,C322";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";12;"6800 pF";;;
108;"CE408,CE401";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0.22 uF";;;
109;"CE105,CE104";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"68 pF";;;
110;"C913";"EEEHB1E4R7AR";1;"4.7 uF";;;
111;"C911";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"22 pF";;;
112;"C822,C821";"CP_Elec_6.3x7.7";2;"47 uF";;;
113;"C816,C815,C814,C813,C812,C811";"CP_Elec_6.3x7.7";6;"100 uF";;;
114;"C804,C502,C501,C335,C325,C305,C302,C301,C42,C41,C40,C23,C22,C21,C20,C19,C18,C17,C16,C14,C13,C11,C9,C6,C5,C4,C3,C2,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";29;"0.33 uF";;;
115;"C712,C306,C45.1";"CP_Elec_4x5.7";3;"10 uF";;;
116;"C711,C451,C450,C331,C321,C45.3,C45.2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"0.1 uF";;;
117;"C461";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"39 pF";;;
118;"C460";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"33 pF";;;
119;"C453";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"18 pF";;;
120;"C452";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0.1u";;;
121;"C334,C324,C304,C303";"CP_Elec_6.3x5.3";4;"22 uF";;;
122;"C333,C323";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"3900 pF";;;
123;"C314,C313,C312,C311";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"0.047 uF";;;
124;"C299,C298";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0.47 uF";;;
